Nº;PDF;Aparelhos;Valor R$
1;ADM 0800100_733_2025;13;11836.90
2;ADM 0800100_734_2025;6879;6263540.14
3;ADM 0800100_735_2025;3816;3474584.85
4;ADM 0800100_736_2025;3058;2784402.64
5;ADM 0800100_737_2025;616;560886.86
6;ADM 0800100_738_2025;444;404275.60
7;ADM 0800100_739_2025;3708;3376247.54
8;ADM 0800100_740_2025;9;8194.78
9;ADM 0800100_741_2025;19;17300.08
10;ADM 0800100_742_2025;225;204869.39
11;ADM 0800100_743_2025;912;830403.93
12;ADM 0800100_744_2025;3458;3148614.89
13;ADM 0800100_745_2025;3390;3086698.80
14;ADM 0800100_746_2025;2544;2316389.90
15;ADM 0800100_747_2025;4124;3755028.28
Total;;33215;30243274.56
