PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0733_2025 de 30_09_2025.PDF,4.0,"SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA/// R$ 3.486,72","3.486,72",3486.72,"4,00 un SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA/// R$ 3.486,72"
ADM 0800100_0733_2025 de 30_09_2025.PDF,9.0,"SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA/// R$ 4.392,90","4.392,90",4392.9,"9,00 un SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA/// R$ 4.392,90"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,"TELEFONE CELULAR BLU BOLD Z4 MUSIC/// R$ 348,00","348,00",348.0,"3,00 un TELEFONE CELULAR BLU BOLD Z4 MUSIC/// R$ 348,00"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4.0,"TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA/// R$ 704,88","704,88",704.88,"4,00 un TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA/// R$ 704,88"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA","2.193,36",2193.36,"2,00 un SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,7.0,SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO,"7.676,76",7676.76,"7,00 un SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA,"2.193,36",2193.36,"2,00 un SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:,"1.344,98",1344.98,"2,00 un SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:,"2.017,47",2017.47,"3,00 un SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:,"672,49",672.49,"1,00 un SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:"
