pdf,quantidade,descricao,valor_unitario,valor_total
ADM 0800100_0733_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA/// R$ 3.486,72",3486.72,13946.88
ADM 0800100_0733_2025 de 30_09_2025.PDF,9,"SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA/// R$ 4.392,90",4392.9,39536.1
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"TELEFONE CELULAR BLU BOLD Z4 MUSIC/// R$ 348,00",348.0,1044.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA/// R$ 704,88",704.88,2819.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA",2193.36,4386.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO,7676.76,53737.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA,2193.36,4386.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:,1344.98,2689.96
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:,2017.47,6052.41
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:,672.49,672.49
ADM 0800100_0734_2025 de 30_09_2025.PDF,12,SMARTPHONE MOTOROLA MOTO E 20 32GB CHINA VIDE EM,8069.88,96838.56
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 9A SPORT, 32 GB, (36339;E2WH06977,",3188.13,9564.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12C, 64 GB ( 45698;S3P704445,",4250.84,17003.36
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62UQ05012,",3188.13,9564.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62VH13600,",2125.42,4250.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI A1, 32 GB (43145;62YP25710,",3188.13,9564.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI A1, 32 GB ( 43115;62ZN07722,",2125.42,4250.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI A2, 32 GB (46863;63PN17908,",2125.42,4250.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 10A 32 GB ( 38887;62SP02402),",621.59,621.59
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 10 PRIME, 64 GB (35415;E2NN10377),",1062.71,1062.71
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE BLU G50 PLUS, 32 GB ( 7030018021018359), CHINA/// R$ 601,54",601.54,601.54
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 12, 5G, 128GB, INDIA, SN:",2146.0,4292.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN:",4292.0,17168.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN:",4292.0,17168.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE MOTOROLA MOTO E13, 64GB, INDIA, IMEI1:",657.97,657.97
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE MOTOROLA MOTO E32, 64GB, CHINA IMEI1:",657.97,657.97
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI POCO M5S, 128GB, CHINA SN:",2146.0,4292.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO C55, 128GB, INDIA, SN:",1073.0,1073.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO C55, 64GB, INDIA, SN:",1073.0,1073.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDONESIA, SN:",2146.0,4292.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 11, 128GB, INDIA, SN:",2146.0,4292.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA, SN:",2146.0,4292.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,10,"SMARTPHONE XIAOMI REDMI 10C, 128GB, CHINA SERIE OU IMEI NO",10532.2,105322.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,11,"SMARTPHONE XIAOMI REDMI 12C, 128GB, CHINA SERIE OU IMEI NO",11585.42,127439.62
ADM 0800100_0734_2025 de 30_09_2025.PDF,5,"SMARTPHONE XIAOMI REDMI 9C, 64GB, CHINA SERIE OU IMEI NO",5266.1,26330.5
ADM 0800100_0734_2025 de 30_09_2025.PDF,5,"SMARTPHONE XIAOMI REDMI A1, 32GB, CHINA SERIE OU IMEI NO",5266.1,26330.5
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SERIE OU IMEI",1053.22,1053.22
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB, CHINA SN:",3179.37,9538.11
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO X5 PRO 5G, 256GB, INDIA",1059.79,1059.79
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO X5 5G, 128GB, CHINA",1059.79,1059.79
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO C50, 32GB, INDIA",1059.79,1059.79
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB, CHINAREDMI",1059.79,1059.79
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A, 32GB, CHINA",2119.58,4239.16
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12 S, 256GB, CHINA",3179.37,9538.11
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 10A SPORT, 128GB, INDIA, SN:",4239.16,16956.64
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI POCO M5, 128GB, CHINA",2119.58,4239.16
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB, CHINA SN NO",7418.53,51929.71
ADM 0800100_0734_2025 de 30_09_2025.PDF,11,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN NO",11657.69,128234.59
ADM 0800100_0734_2025 de 30_09_2025.PDF,80,"SMARTPHONE XIAOMI REDMI NOTE 12 , 128GB CHINA, NUMERO DE",1034.54,82763.2
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME 11 PRO MAIS 56 CHINA,256GB, NUMERO DE",3776.16,7552.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C53 CHINA,128GB, NUMERO DE SERIE NO",3776.16,7552.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C30S CHINA,326GB, NUMERO DE SERIE NO",3776.16,7552.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE OPPO RENO7 CHINA,128GB, NUMERO DE SERIE NO",1888.08,1888.08
