PDF,Quantidade,Descrição Completa,Linha Original
ADM 0800100_0733_2025 de 30_09_2025.PDF,4,SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA,"4,00 un SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA/// R$ 3.486,72"
ADM 0800100_0733_2025 de 30_09_2025.PDF,9,SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA,"9,00 un SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA/// R$ 4.392,90"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,TELEFONE CELULAR BLU BOLD Z4 MUSIC,"3,00 un TELEFONE CELULAR BLU BOLD Z4 MUSIC/// R$ 348,00"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA","4,00 un TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA/// R$ 704,88"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA","2,00 un SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO,"7,00 un SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA,"2,00 un SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:,"2,00 un SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:,"3,00 un SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:,"1,00 un SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,12,SMARTPHONE MOTOROLA MOTO E 20 32GB CHINA VIDE EM,"12,00 un SMARTPHONE MOTOROLA MOTO E 20 32GB CHINA VIDE EM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 9A SPORT, 32 GB, (36339;E2WH06977,","3,00 un SMARTPHONE XIAOMI REDMI 9A SPORT, 32 GB, (36339;E2WH06977,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12C, 64 GB ( 45698;S3P704445,","4,00 un SMARTPHONE XIAOMI REDMI 12C, 64 GB ( 45698;S3P704445,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62UQ05012,","3,00 un SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62UQ05012,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62VH13600,","2,00 un SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62VH13600,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI A1, 32 GB (43145;62YP25710,","3,00 un SMARTPHONE XIAOMI REDMI A1, 32 GB (43145;62YP25710,"
