PDF;Quantidade;Descrição;Valor Unitário;Valor Total
ADM 0800100_0733_2025 de 30_09_2025.PDF;4;SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA/// R$ 3.486,72;R$ 871,68;R$ 3486,72
ADM 0800100_0733_2025 de 30_09_2025.PDF;9;SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA/// R$ 4.392,90;R$ 488,10;R$ 4392,90
ADM 0800100_0734_2025 de 30_09_2025.PDF;3;TELEFONE CELULAR BLU BOLD Z4 MUSIC/// R$ 348,00;R$ 116,00;R$ 348,00
ADM 0800100_0734_2025 de 30_09_2025.PDF;4;TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA/// R$ 704,88;R$ 176,22;R$ 704,88
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA;R$ 1096,68;R$ 2193,36
ADM 0800100_0734_2025 de 30_09_2025.PDF;7;SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO;R$ 1096,68;R$ 7676,76
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA;R$ 1096,68;R$ 2193,36
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:;R$ 672,49;R$ 1344,98
ADM 0800100_0734_2025 de 30_09_2025.PDF;3;SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:;R$ 672,49;R$ 2017,47
ADM 0800100_0734_2025 de 30_09_2025.PDF;1;SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:;R$ 672,49;R$ 672,49
ADM 0800100_0734_2025 de 30_09_2025.PDF;12;SMARTPHONE MOTOROLA MOTO E 20 32GB CHINA VIDE EM;R$ 672,49;R$ 8069,88
ADM 0800100_0734_2025 de 30_09_2025.PDF;3;"SMARTPHONE XIAOMI REDMI 9A SPORT, 32 GB, (36339;E2WH06977,";R$ 1062,71;R$ 3188,13
ADM 0800100_0734_2025 de 30_09_2025.PDF;4;"SMARTPHONE XIAOMI REDMI 12C, 64 GB ( 45698;S3P704445,";R$ 1062,71;R$ 4250,84
ADM 0800100_0734_2025 de 30_09_2025.PDF;3;"SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62UQ05012,";R$ 1062,71;R$ 3188,13
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;"SMARTPHONE XIAOMI REDMI 9A, 32 GB ( 36552;62VH13600,";R$ 1062,71;R$ 2125,42
ADM 0800100_0734_2025 de 30_09_2025.PDF;3;"SMARTPHONE XIAOMI REDMI A1, 32 GB (43145;62YP25710,";R$ 1062,71;R$ 3188,13
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;"SMARTPHONE XIAOMI REDMI A1, 32 GB ( 43115;62ZN07722,";R$ 1062,71;R$ 2125,42
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;"SMARTPHONE XIAOMI REDMI A2, 32 GB (46863;63PN17908,";R$ 1062,71;R$ 2125,42
ADM 0800100_0734_2025 de 30_09_2025.PDF;1;"SMARTPHONE XIAOMI REDMI 10A 32 GB ( 38887;62SP02402),";R$ 621,59;R$ 621,59
ADM 0800100_0734_2025 de 30_09_2025.PDF;1;"SMARTPHONE XIAOMI REDMI 10 PRIME, 64 GB (35415;E2NN10377),";R$ 1062,71;R$ 1062,71
ADM 0800100_0734_2025 de 30_09_2025.PDF;1;SMARTPHONE BLU G50 PLUS, 32 GB ( 7030018021018359), CHINA/// R$ 601,54;R$ 601,54;R$ 601,54
ADM 0800100_0734_2025 de 30_09_2025.PDF;2;SMARTPHONE XIAOMI REDMI NOTE 12, 5G, 128GB, INDIA, SN:;R$ 1073,00;R$ 2146,00
ADM 0800100_0734_2025 de 30_09_2025.PDF;4;SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN:;R$ 1073,00;R$ 4292,00
ADM 0800100_0734_2025 de 30_09_2025.PDF;4;SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN:;R$ 1073,00;R$ 4292,00
ADM 0800100_0734_2025 de 30_09_2025.PDF;1;SMARTPHONE MOTOROLA MOTO E13, 64GB, INDIA, IMEI1:;R$ 657,97;R$ 657,97
