Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
26.0,"TELEFONE CELULAR XIAOMI REDMI 7A 32GB (DUAL SIM)/// R$ 20.490,08","20.490,08",20490.08,"26,00 un TELEFONE CELULAR XIAOMI REDMI 7A 32GB (DUAL SIM)/// R$ 20.490,08"
32.0,"TELEFONE CELULAR XIAOMI MI 8 LITE 128 GB DUAL SIM/// R$ 31.523,20","31.523,20",31523.2,"32,00 un TELEFONE CELULAR XIAOMI MI 8 LITE 128 GB DUAL SIM/// R$ 31.523,20"
1.0,"TELEFONE CELULAR XIAOMI REDMI NOTE 7 128GB (DUAL SIM)/// R$ 788,08","788,08",788.08,"1,00 un TELEFONE CELULAR XIAOMI REDMI NOTE 7 128GB (DUAL SIM)/// R$ 788,08"
6.0,"TELEFONE CELULAR XIAOMI MI9 128GB/// R$ 7.092,72","7.092,72",7092.72,"6,00 un TELEFONE CELULAR XIAOMI MI9 128GB/// R$ 7.092,72"
5.0,"TELEFONE CELULAR XIAOMI MI9 SE 128GB/// R$ 5.910,60","5.910,60",5910.6,"5,00 un TELEFONE CELULAR XIAOMI MI9 SE 128GB/// R$ 5.910,60"
1.0,"CELULAR APPLE/// R$ 3.210,00","3.210,00",3210.0,"1,00 un CELULAR APPLE/// R$ 3.210,00"
2.0,"CELULAR 256GB APPLE/// R$ 3.698,30","3.698,30",3698.3,"2,00 un CELULAR 256GB APPLE/// R$ 3.698,30"
1.0,SMARTPHONE XIAOMI REDMI NOTE 9 (M2003J15SS) COM CAPINHA,"1.350,00",1350.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 9 (M2003J15SS) COM CAPINHA"
120.0,"SMARTPHONE XIAOMI REDMI 9A 32GB/// R$ 109.239,60","109.239,60",109239.6,"120,00 un SMARTPHONE XIAOMI REDMI 9A 32GB/// R$ 109.239,60"
20.0,"SMARTPHONE XIAOMI REDMI 9A 32GB (MADE IN INDIA)/// R$ 18.206,60","18.206,60",18206.6,"20,00 un SMARTPHONE XIAOMI REDMI 9A 32GB (MADE IN INDIA)/// R$ 18.206,60"
22.0,"SMARTPHONE XIAOMI REDMI NOTE 8 64GB/// R$ 22.946,00","22.946,00",22946.0,"22,00 un SMARTPHONE XIAOMI REDMI NOTE 8 64GB/// R$ 22.946,00"
21.0,"SMARTPHONE XIAOMI REDMI 9 64GB/// R$ 21.084,00","21.084,00",21084.0,"21,00 un SMARTPHONE XIAOMI REDMI 9 64GB/// R$ 21.084,00"
9.0,"SMARTPHONE XIAOMI REDMI NOTE 10 128GB/// R$ 11.810,43","11.810,43",11810.43,"9,00 un SMARTPHONE XIAOMI REDMI NOTE 10 128GB/// R$ 11.810,43"
1.0,TELEFONE CELULAR APPLE XR //CB:NB020524109BR-,"1.085,00",1085.0,"1,00 un TELEFONE CELULAR APPLE XR //CB:NB020524109BR-"
1.0,SMARTPHONE APPLE VERIZON IPHONE 12 PRO 128 GB,"1.992,52",1992.52,"1,00 un SMARTPHONE APPLE VERIZON IPHONE 12 PRO 128 GB"
1.0,SMARTPHONE XIAOMI 2201117TG 28007/2023 SMARTPHONE REDMI,"1.000,00",1000.0,"1,00 un SMARTPHONE XIAOMI 2201117TG 28007/2023 SMARTPHONE REDMI"
1.0,SMARTPHONE XIAOMI 2201117TG 28007/2023 SMARTPHONE REDMI,"1.000,00",1000.0,"1,00 un SMARTPHONE XIAOMI 2201117TG 28007/2023 SMARTPHONE REDMI"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TG,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TG"
