Nº;Nome do Arquivo;Total de Aparelhos (32.015);Total de Aparelhos (32.027);Diferença;Valor Total R$
1;ADM 0800100_0733_2025 de 30_09_2025.PDF;13;13;+0;7879.62
2;ADM 0800100_0734_2025 de 30_09_2025.PDF;6879;6879;+0;5716622.03
3;ADM 0800100_0740_2025 de 30_09_2025.PDF;9;9;+0;3950.54
4;ADM 0800100_0741_2025 de 30_09_2025.PDF;19;19;+0;18816.20
5;ADM 0800100_0742_2025 de 30_09_2025.PDF;225;225;+0;84426.55
6;ADM 0800100_0743_2025 de 30_09_2025.PDF;912;909;-3;1550663.46
7;ADM 0800100_0744_2025 de 30_09_2025.PDF;3457;3458;+1;3466961.08
8;ADM 0800100_0735_2025 de 30_09_2025.PDF;3804;3816;+12;2854333.55
9;ADM 0800100_0736_2025 de 30_09_2025.PDF;1873;1873;+0;2744064.74
10;ADM 0800100_0737_2025 de 30_09_2025.PDF;616;616;+0;280644.01
11;ADM 0800100_0738_2025 de 30_09_2025.PDF;442;444;+2;489069.62
12;ADM 0800100_0739_2025 de 30_09_2025.PDF;3708;3708;+0;1870406.44
13;ADM 0800100_0745_2025 de 30_09_2025.PDF;3390;3390;+0;4644268.78
14;ADM 0800100_0746_2025 de 30_09_2025.PDF;2544;2544;+0;3050180.53
15;ADM 0800100_0747_2025 de 30092025.PDF;4124;4124;+0;3466230.15
Total;;32015;32027;+12;30248517.30
